step,grand_mean_re,smoothed_re,derivative
0,0.78421163,0.89619909,-0.0000362027
1,0.85653947,0.89616289,0.0000810879
2,0.92694936,0.89636127,0.0001578808
3,0.87042177,0.89647865,0.0001033344
4,0.88484921,0.89656794,0.0000781309
5,0.88771485,0.89663491,0.0000096719
6,0.92156983,0.89658728,0.0000146138
7,0.89990892,0.89666414,0.0000884582
8,0.90943539,0.89676420,-0.0000386274
9,0.89883580,0.89658688,-0.0002396112
10,0.90245448,0.89628497,-0.0002294364
11,0.91071002,0.89612801,-0.0001405608
12,0.90489051,0.89600385,-0.0001149314
13,0.91020041,0.89589815,-0.0001561674
14,0.90149373,0.89569152,-0.0001004679
15,0.90700390,0.89569721,-0.0000154993
16,0.90536398,0.89566052,-0.0001235544
17,0.90064527,0.89545010,-0.0000605408
18,0.89766618,0.89553944,-0.0001725494
19,0.90452402,0.89510501,-0.0001551308
20,0.90304233,0.89522918,0.0002034361
21,0.90080876,0.89551188,0.0004406477
22,0.90421710,0.89611047,0.0000167176
23,0.90571685,0.89554531,0.0002021319
24,0.90580349,0.89651473,0.0016320052
25,0.90399336,0.89880932,0.0024133455
26,0.91563578,0.90134143,0.0017609561
27,0.91008625,0.90233124,0.0002000774
28,0.90527306,0.90174158,-0.0000086340
29,0.90639113,0.90231397,0.0004258099
30,0.90214240,0.90259320,0.0002470849
31,0.90150918,0.90280814,-0.0001081422
32,0.90564809,0.90237692,-0.0003140432
33,0.89649842,0.90218005,-0.0002222117
34,0.89190833,0.90193249,-0.0001471165
35,0.89364566,0.90188582,0.0000543538
36,0.90399241,0.90204120,0.0000149544
37,0.89960537,0.90191573,-0.0001371251
38,0.90037842,0.90176695,-0.0001427561
39,0.90273929,0.90163021,-0.0000859407
40,0.89700107,0.90159507,-0.0000806490
41,0.89891469,0.90146892,-0.0001372372
42,0.90437555,0.90132059,-0.0000256132
43,0.89984826,0.90141769,0.0001047004
44,0.89392333,0.90152999,0.0000767492
45,0.89898435,0.90157119,0.0001069214
46,0.90035140,0.90174384,0.0000757782
47,0.89869149,0.90172274,-0.0000341491
48,0.90501054,0.90167554,-0.0000180045
49,0.89894108,0.90168674,-0.0000134808
50,0.91081673,0.90164858,0.0000233023
51,0.90602998,0.90173334,-0.0000145084
52,0.89746659,0.90161956,-0.0000992408
53,0.89904114,0.90153486,-0.0000662357
54,0.89881083,0.90148709,-0.0000181006
55,0.89846173,0.90149866,0.0000343944
56,0.90000874,0.90155588,0.0000585144
57,0.89006570,0.90161569,-0.0000532503
58,0.89705744,0.90144938,0.0000013787
59,0.89650210,0.90161844,0.0002326656
60,0.91022357,0.90191471,0.0002859578
61,0.90443637,0.90219036,0.0001178076
62,0.89745165,0.90215032,0.0000497819
63,0.90336366,0.90228992,0.0000662574
64,0.89973641,0.90228284,0.0000378050
65,0.90069631,0.90236553,0.0000596084
66,0.89794784,0.90240206,0.0001113113
67,0.90550008,0.90258816,0.0001757650
68,0.90328141,0.90275359,0.0001587469
69,0.90658371,0.90290565,0.0001888977
70,0.91167478,0.90313138,0.0001902642
71,0.89975413,0.90328618,0.0001294241
